"","Fragment.ID.y","Day","Timepoint.y","Group","Date.Airbrushed","Cells.cm2","Cells.cm2.x6"
"1","R40","37","A2","Control",20210611,845941.109484301,0.845941109484301
"2","R36","37","A2","Mortality",20210611,472311.496506512,0.472311496506512
"3","R11","37","A2","Mortality",20210611,419004.863449308,0.419004863449308
"4","R19","37","A2","Bleached",20210611,379266.750948167,0.379266750948167
"5","R36","0","A1","Mortality",20210611,1375821.38590203,1.37582138590203
"6","R28","0","A1","Mortality",20210611,1637011.38444391,1.63701138444391
"7","R35","0","A1","Mortality",20210611,1829383.88625592,1.82938388625592
"8","R17","0","A1","Control",20210611,2022123.58204749,2.02212358204749
"9","R19","0","A1","Bleached",20210611,1143348.90582739,1.14334890582739
"10","R37","0","A1","Bleached",20210611,1470254.31425976,1.47025431425976
"11","R32","52","A4","Control",20210614,1110170.28883244,1.11017028883244
"12","R28","37","A2","Mortality",20210614,192133.405836505,0.192133405836505
"13","R7","52","A4","Control",20210614,956378.943473032,0.956378943473032
"14","R35","52","A4","Mortality",20210614,880881.13908378,0.880881139083781
"15","R26","0","A1","Mortality",20210614,1347995.21244764,1.34799521244764
"16","R29","0","A1","Bleached",20210614,1064762.17547849,1.06476217547849
"17","R37","37","A2","Bleached",20210614,558837.755666114,0.558837755666114
"18","R35","37","A2","Mortality",20210614,363073.021341755,0.363073021341755
"19","R32","37","A2","Control",20210614,1027048.09883651,1.02704809883651
"20","R36","52","A4","Mortality",20210614,341815.419673376,0.341815419673376
"21","R11","0","A1","Mortality",20210615,1443705.06348478,1.44370506348478
"22","R19","52","A4","Bleached",20210615,196382.823501468,0.196382823501468
"23","R26","37","A2","Mortality",20210615,404649.24140003,0.40464924140003
"24","R28","52","A4","Mortality",20210615,103375.446900009,0.103375446900009
"25","R20","0","A1","Bleached",20210615,1689532.5203252,1.6895325203252
"26","R8","37","A2","Bleached",20210615,133509.617877327,0.133509617877327
"27","R29","37","A2","Bleached",20210615,161871.298506143,0.161871298506143
"28","R37","52","A4","Bleached",20210615,114597.240765465,0.114597240765465
"29","R20","37","A2","Bleached",20210615,479384.003974168,0.479384003974168
"30","R7","37","A2","Control",20210615,1122951.4358743,1.1229514358743
"31","R23","37","A2","Control",20210616,1183876.18387618,1.18387618387618
"32","R17","52","A4","Control",20210616,826031.398320555,0.826031398320555
"33","R7","0","A1","Control",20210616,1267778.03683842,1.26777803683842
"34","R29","52","A4","Bleached",20210616,225507.510586984,0.225507510586984
"35","R8","52","A4","Bleached",20210616,232987.868562706,0.232987868562706
"36","R26","52","A4","Mortality",20210616,408026.113671275,0.408026113671275
"37","R11","52","A4","Mortality",20210616,154096.500355251,0.154096500355251
"38","R8","0","A1","Bleached",20210616,2109931.80536328,2.10993180536328
"39","R23","52","A4","Control",20210616,700903.753545748,0.700903753545748
"40","R20","52","A4","Bleached",20210616,299432.797421265,0.299432797421265
"41","R40","0","A1","Control",20210616,1761239.03508772,1.76123903508772
"42","R17","37","A2","Control",20210616,1382624.87315368,1.38262487315368
"43","R40","52","A4","Control",20210616,943021.639864999,0.943021639864999
"44","R32","0","A1","Control",20210616,2403631.90730838,2.40363190730838
"45","R23","0","A1","Control",20210616,1368711.90109953,1.36871190109953
