"","Fragment.ID","Temp.Cat","Pnet_umol.cm2.hr","Rdark_umol.cm2.hr","Pgross_umol.cm2.hr","Timepoint"
"1","R1","Ambient",0.138056171969578,-0.341460137165369,0.479516309134947,"T3"
"2","R10","Ambient",-0.00412029909370617,-0.384459973101954,0.380339674008248,"T3"
"3","R11","Hot",-0.231892408440893,-0.333985881852123,0.10209347341123,"T3"
"4","R12","Hot",-0.229784510566285,-0.307373129628869,0.077588619062584,"T3"
"5","R13","Ambient",-0.102221724832162,-0.48078917050263,0.378567445670468,"T3"
"6","R14","Ambient",0.132958290147505,-0.208837626565426,0.341795916712931,"T3"
"7","R15","Ambient",0.173243935501118,-0.379244035665913,0.552487971167031,"T3"
"8","R16","Ambient",0.241316090937898,-0.676144892400555,0.917460983338453,"T3"
"9","R17","Ambient",0.26802023221355,-0.424056537458183,0.692076769671733,"T3"
"10","R18","Ambient",0.326822810683444,-0.274393664334951,0.601216475018395,"T3"
"11","R19","Hot",-0.419077503194767,-0.475804728986791,0.056727225792024,"T3"
"12","R2","Ambient",0.0692232424632812,-0.27598468920471,0.345207931667991,"T3"
"13","R20","Hot",-0.359478597885597,-0.359114614508228,-0.000363983377368982,"T3"
"14","R21","Hot",-0.138337440144749,-0.365018711923346,0.226681271778597,"T3"
"15","R22","Ambient",0.0988432218984699,-0.20548632773853,0.304329549637,"T3"
"16","R23","Ambient",-0.0432976128733416,-0.441133864283363,0.397836251410021,"T3"
"17","R24","Hot",-0.229492435985311,-0.30323591168171,0.073743475696399,"T3"
"18","R25","Ambient",0.211441864967791,-0.295456658575986,0.506898523543777,"T3"
"19","R26","Hot",-0.166247091345944,-0.456797687267144,0.2905505959212,"T3"
"20","R27","Hot",-0.136062992879999,-0.28659295921773,0.150529966337731,"T3"
"21","R28","Hot",-0.196050107240207,-0.594150153099676,0.398100045859469,"T3"
"22","R29","Hot",-0.208516511270356,-0.398703331402861,0.190186820132505,"T3"
"23","R3","Hot",-0.113654511233175,-0.464640713903424,0.350986202670249,"T3"
"24","R31","Hot",-0.492485554507068,-0.538149767259298,0.04566421275223,"T3"
"25","R32","Ambient",0.123385337604759,-0.386654411308063,0.510039748912822,"T3"
"26","R33","Ambient",0.0805533404370041,-0.325478888989539,0.406032229426543,"T3"
"27","R34","Ambient",0.139223736382726,-0.301836108646536,0.441059845029262,"T3"
"28","R35","Hot",-0.245417764206228,-0.458590568526355,0.213172804320127,"T3"
"29","R36","Hot",-0.372376290008298,-0.465861518219837,0.093485228211539,"T3"
"30","R37","Hot",-0.308777291226609,-0.375086026732887,0.066308735506278,"T3"
"31","R38","Hot",-0.0713167696027091,-0.291008993928508,0.219692224325799,"T3"
"32","R39","Ambient",0.089706900037103,-0.435458404193662,0.525165304230765,"T3"
"33","R40","Ambient",0.0174251077840118,-0.502840177364296,0.520265285148308,"T3"
"34","R5","Ambient",0.281813896953109,-0.330367832278501,0.61218172923161,"T3"
"35","R6","Ambient",0.336265848344998,-0.169691193146885,0.505957041491883,"T3"
"36","R7","Ambient",0.155203731079126,-0.618270198818954,0.77347392989808,"T3"
"37","R8","Hot",-0.281860639541152,-0.344616590042537,0.062755950501385,"T3"
