"","Metabolite","VIP"
"1","Glutamine",1.95183295473985
"2","Asparagine",1.92307539712123
"3","Alanine",1.87884065118687
"4","Dihydroorotate",1.87651652681987
"5","Ornithine",1.8718968008771
"7","NADPH (SIM)",1.8532122088176
"8","Arginine",1.83891008637112
"9","Homoarginine",1.83299431769048
"10","2-Aminoethylphosphonate",1.8322348216764
"11","Glycine",1.82048680234465
"12","4-Guanidinobutanoic acid",1.81468206043064
"13","Pyrroline-5-carboxylic acid",1.79602119403576
"14","NG-dimethyl-L-arginine",1.77876897366516
"16","UMP",1.68516323744769
"17","Acetyl proline",1.65987799405065
"18","Isoleucine",1.64581615099032
"19","O-Phosphorylethanolamine",1.63963922600817
"21","Cellobiose",1.62905928982688
"22","Histidine",1.60639451135043
"23","Lysine",1.59132134985946
"24","Sucrose",1.58575238145517
"26","Aminoadipic acid",1.53723684823441
"27","Uric acid",1.52895394122795
"28","Threonine",1.51605093084015
"29","Malate",1.51217196807703
"30","Phosphocholine",1.46409593100639
"31","Citrate",1.46139622823556
"33","Hydroxyproline",1.45342368187126
"35","Raffinose",1.43234915129648
